"","participant","condition","trial_num","raw_points","experiment"
"1","A11F3MA5FWH6SJ","HL16M",1,-1400,3
"2","A11F3MA5FWH6SJ","HL16M",2,550,3
"3","A11F3MA5FWH6SJ","HL16M",3,25,3
"4","A11F3MA5FWH6SJ","HL16M",4,575,3
"5","A11F3MA5FWH6SJ","HL16M",5,75,3
"6","A11F3MA5FWH6SJ","HL16M",6,650,3
"7","A11F3MA5FWH6SJ","HL16M",7,125,3
"8","A11F3MA5FWH6SJ","HL16M",8,750,3
"9","A11F3MA5FWH6SJ","HL16M",9,-100,3
"10","A11F3MA5FWH6SJ","HL16M",10,800,3
"11","A11F3MA5FWH6SJ","HL16M",11,425,3
"12","A11F3MA5FWH6SJ","HL16M",12,825,3
"13","A11F3MA5FWH6SJ","HL16M",13,450,3
"14","A11F3MA5FWH6SJ","HL16M",14,725,3
"15","A11F3MA5FWH6SJ","HL16M",15,550,3
"16","A11F3MA5FWH6SJ","HL16M",16,825,3
"17","A11F3MA5FWH6SJ","HL16M",17,600,3
"18","A11F3MA5FWH6SJ","HL16M",18,825,3
"19","A11F3MA5FWH6SJ","HL16M",19,775,3
"20","A11F3MA5FWH6SJ","HL16M",20,850,3
"21","A11F3MA5FWH6SJ","HL16M",21,475,3
"22","A11F3MA5FWH6SJ","HL16M",22,450,3
"23","A11F3MA5FWH6SJ","HL16M",23,550,3
"24","A11F3MA5FWH6SJ","HL16M",24,500,3
"25","A11F3MA5FWH6SJ","HL16M",25,300,3
"26","A11F3MA5FWH6SJ","HL16M",26,450,3
"27","A11F3MA5FWH6SJ","HL16M",27,650,3
"28","A11F3MA5FWH6SJ","HL16M",28,925,3
"29","A11F3MA5FWH6SJ","HL16M",29,650,3
"30","A11F3MA5FWH6SJ","HL16M",30,975,3
"31","A11F3MA5FWH6SJ","HL16M",31,625,3
"32","A11F3MA5FWH6SJ","HL16M",32,575,3
"33","A11F3MA5FWH6SJ","HL16M",33,925,3
"34","A11F3MA5FWH6SJ","HL16M",34,725,3
"35","A11F3MA5FWH6SJ","HL16M",35,975,3
"36","A11F3MA5FWH6SJ","HL16M",36,950,3
"37","A11F3MA5FWH6SJ","HL16M",37,900,3
"38","A11F3MA5FWH6SJ","HL16M",38,1075,3
"39","A11F3MA5FWH6SJ","HL16M",39,1000,3
"40","A11F3MA5FWH6SJ","HL16M",40,1100,3
"41","A12VY7HFEVPEXU","HL16M",1,-50,3
"42","A12VY7HFEVPEXU","HL16M",2,275,3
"43","A12VY7HFEVPEXU","HL16M",3,-125,3
"44","A12VY7HFEVPEXU","HL16M",4,425,3
"45","A12VY7HFEVPEXU","HL16M",5,175,3
"46","A12VY7HFEVPEXU","HL16M",6,650,3
"47","A12VY7HFEVPEXU","HL16M",7,100,3
"48","A12VY7HFEVPEXU","HL16M",8,800,3
"49","A12VY7HFEVPEXU","HL16M",9,500,3
"50","A12VY7HFEVPEXU","HL16M",10,775,3
"51","A12VY7HFEVPEXU","HL16M",11,375,3
"52","A12VY7HFEVPEXU","HL16M",12,775,3
"53","A12VY7HFEVPEXU","HL16M",13,700,3
"54","A12VY7HFEVPEXU","HL16M",14,1075,3
"55","A12VY7HFEVPEXU","HL16M",15,100,3
"56","A12VY7HFEVPEXU","HL16M",16,1075,3
"57","A12VY7HFEVPEXU","HL16M",17,1050,3
"58","A12VY7HFEVPEXU","HL16M",18,700,3
"59","A12VY7HFEVPEXU","HL16M",19,1025,3
"60","A12VY7HFEVPEXU","HL16M",20,875,3
"61","A12VY7HFEVPEXU","HL16M",21,275,3
"62","A12VY7HFEVPEXU","HL16M",22,1225,3
"63","A12VY7HFEVPEXU","HL16M",23,350,3
"64","A12VY7HFEVPEXU","HL16M",24,550,3
"65","A12VY7HFEVPEXU","HL16M",25,800,3
"66","A12VY7HFEVPEXU","HL16M",26,925,3
"67","A12VY7HFEVPEXU","HL16M",27,500,3
"68","A12VY7HFEVPEXU","HL16M",28,675,3
"69","A12VY7HFEVPEXU","HL16M",29,950,3
"70","A12VY7HFEVPEXU","HL16M",30,1050,3
"71","A12VY7HFEVPEXU","HL16M",31,775,3
"72","A12VY7HFEVPEXU","HL16M",32,1075,3
